Type	Genus	Tube colour	Botanical name	Common name	States	NW	LE	NU	GT	FR	EA	EP	NL	MU	YP	SL	KI	SE	Height (m)	Spread (m)	Rain (mm)	Soil texture	Soil pH	Frost	Flower colour	Flower (time)	License	Attribution link	Attribution Label
Trees and Shrubs	Eucalyptus 	B	viminalis ssp viminalis	manna gum	"SA, N,V,T"											R		I	15-40	12-30	650	"Sa,Lo, Cl"	AN	R	W	"Sp, S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	viridis	green mallee	"Q,N,V"														4-8	3-5	250	"Sa,,Lo,Cl,Li"	ANC	M	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	wandoo ssp. wandoo	wandoo	W														8-30	6-20	400	"Sa,Lo,Cl"	ANC	M	Cr	"S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	websteriana	Webster's mallee	W														3-6	3-6	300	"Sa,Lo,Li"	ANC	M	"Cr,Y"	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	woodwardii	lemon-flowered gum	W														10-15	8-10	200	" Lo,Cl,Li"	ANC	M	Y	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eucalyptus 	B	youngiana	Ooldea mallee	"SA,W"	I		R	R			I							2-8	4-6	300	"Sa, Lo"	ANC	M	"Y, R"	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eutaxia	B	diffusa 	spreading mallee pea	SA					V	V	R	V	R	V	V	E	I	0.5-1	1-1.5	400	"Sa,Lo,Cl"	ANC	M	"Y,Br"	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eutaxia	B	microphylla 	mallee bush pea	All states			R	I	I	R	I	I	I	I	I	I	I	0.5-1	1-1.5	400	"Sa,Lo,Cl"	ANC	M	"Y,Br"	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Eutaxia	G	obovata 	eggs and bacon	W														1.5	1-2	500	"Sa,Lo,Cl"	AN	M	Y/O	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Gastrolobium syn. Brachysema	G	celsianum syn B.lanceolatum	Swan River pea	W														0.5-2	1-3	500	"Sa, Lo, Cl"	AN/C	M	R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Glischrocaryon	G	behrii	golden pennants	"SA,N,V"			R	R			I	V	I	V	I	I	I	0.2-1	0.3-1	300	"Sa,Lo,Cl"	ANC	M	Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Goodenia	G	amplexans	clasping goodenia	"SA,V"					R						I	I		0.5-1.2	0.5-1	400	"Sa,Lo,Cl"	ANC	M	Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Goodenia	G	ovata 	hop goodenia	"SA,Q,N,V,NT"					R	V	R		V		I	I	I	1-2.5	1-3	450	"Sa, Lo, Cl"	AN/C	M	Y	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Goodia	B	medicaginea syn G. lotifolia	golden tip	All states				R	R		R		R	R	I	I	I	2-3	2-3	500	"Sa, Lo, Cl"	AN/C	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Gossypium	 B	sturtianum	Sturt's desert rose	"SA,Q,N,W,NT"		I		R	I	R	R							1-2	1-1.5	250	"Sa, Lo"	ANC	S	Pk/Pu	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Apricot Glow'	cultivar of G.olivacea	cultivar														1.5-2	1.5-2	400	"Sa,Lo,Cl,Li"	ANC	R	O	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	arenaria	sand grevillea	"Q, N"														1-3	1-3	450	"Sa,Lo,Li"	ANC	M	"G,Y,R"	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	banksii	red silky oak	Q														2-3	2-4	550	"Sa, Lo"	AN/C	S	"R, W"	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	baueri		N														1-1.5	1-1.5	450	"Lo, Cl"	AN	M	R/Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	cagiana	red toothbrushes	W														2-3	2-4	400	"Sa,Lo,Cl"	AN	M	R/G	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Canberra Gem'	syn. G.'Pink Pearl'	cultivar														2-3	2-3	500	"Lo,Cl"	ANC	R	Pk	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	B	candelabroides		W														2-5	1.5-4	450	"Sa, Lo"	AN	M	Cr	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Clearview David'		cultivar														2-3	2-3	500	"Lo, Cl"	AN/C	R	R	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Coconut Ice'		cultivar														1-1.5	0.5-1.5	500	"Sa,Lo,Cl"	AN/C	M	O/P	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Cooper's Classic'		cultivar														2-3	1.5-2	400	"Sa,Lo,Cl"	ANC	M	Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Copper Rocket'		cultivar														2-5	3-5	500	"Sa,Lo,Cl"	AN	R	Pk/Pu	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	crithmifolia		W														0.6-2.5	2-3	400	"Sa, Lo, Cl"	ANC	M	Cr	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Ellendale Dragon'	cultivar of G.fililoba	cultivar														1-3	2-4	400	"Sa,Lo,Cl"	ANC	M	Pk/R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Ellendale Poole'	cultivar of G.fililoba	cultivar														1-2	2-3	400	"Sa, Lo, Cl"	ANC	M	R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Flora Mason'		cultivar														2-3	3-4	400	"Sa,Lo,Cl,Li"	ANC	R	Y&R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	huegelii	comb grevillea	"SA,N,V,W"		I	I	R	E	V	I	V	R	V	E			0.5-2.5	1.5-3	300	"Sa, Lo"	AN/C	M	Bu/R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	iaspicula	Wee Jasper grevillea	N														1.2-1.5	1-1.5	500	"Sa,Lo,Cl,Li"	ANC	R	Cr/Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	ilicifolia ssp ilicifolia	holly grevillea	"SA,N,V"					R	E	I	V	R	I	I	I	I	0.1-2	1-3	400	"Sa, Lo, Cl"	ANC	M	"R, G"	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	intricata		W														1-3	1-3	450	"Sa, Lo"	AN	M	Cr	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	lavandulacea  Monarto form		SA									T					1.5	2	300	"Sa, Lo,Cl"	ANC	R	Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	lavandulacea Black Ranges form		V														1.5	2	500	"Sa, Lo, Cl"	ANC	R	R	W	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	lavandulacea Cream flowered form																0.6-1	0.6-1	500	"Sa,Lo,Cl"	ANC	R	Cr	W/Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	lavandulacea Mt Lofty Ranges form		SA								R			I			0.5-1	0.5-1	550	"Sa, Lo, Cl"	ANC	R	R/Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	lavandulacea O'Sullivan's Beach form		SA											I			0.3-0.5	1	450	"Sa,Lo,Cl"	ANC	R	R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	lavandulacea Penola form		SA													I	1-1.5	2-3	400	"Sa, Lo, Cl"	ANC	R	R	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	lavandulacea Victor Harbour form		SA											I			0.5-1	0.5-1	400	"Sa, Lo, Cl"	ANC	R	R/Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Lemon Supreme'		cultivar														1.5-2.5	1.5-2.5	400	"Sa,Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	B	leucopteris	white plume grevillea	W														2-4	3-6	400	"Sa, Lo, Li"	ANC	M	Cr	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	manglesii 	smooth grevillea	W														2-3	3-4	400	"Sa, Lo, Cl"	ANC	M	W	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Ned Kelly'	syn G.'Mason's Hybrid'	cultivar														1-2	2-2.5	500	"Sa,Lo,Cl"	AN/C	M	O/R	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	olivacea Orange flowered form		W														2-3	2-3	400	"Sa,Lo,Cl,Li"	ANC	R	O	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	olivacea Red flowered form		W														2-3	2-3	400	"Sa,Lo,Cl,Li"	ANC	R	R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	olivacea Yellow flowered form		W														2-3	2-3	400	"Sa,Lo,Cl,Li"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	pauciflora	Pt Lincoln grevillea	SA							I			E		I		0.2-1.5	0.6-2	400	"Sa,Lo,Li"	ANC	R	R/Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	pinaster		W														2-4	2-4	400	"Sa, Lo,Cl"	ANC	R	R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Poorinda Constance'		cultivar														4	5	500	"Sa,Lo,Cl"	ANC	R	R	"A,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Poorinda Elegance'		cultivar														1.5-2.5	2-3	500	Lo  Cl	ANC	M	O/Y	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Poorinda Queen'		cultivar														2-3	3-4	550	"Sa, Lo, Cl"	ANC	M	O	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Pryor's hybrid'	syn. G.'Scarlet Sprite'	cultivar														1-2	1-2	500	"Sa, Lo, Cl"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	pterosperma	desert grevillea	"SA,N,V,W,NT"	I			R	I		I		T				I	2-3	2-4	250	"Sa,Lo"	ANC	R	Cr	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Red Hooks'	toothbrush grevillea	cultivar														2-4	3-5	450	"Sa, Lo, Cl"	ANC	M	R	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Red Sunset'		cultivar														2-3	2-2.5	400	"Sa,Lo,Cl,Li"	ANC	R	R	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Red Wings'	cultivar of G.thelemanniana	cultivar														1-1.5	1-2.5	500	"Sa,Lo,Cl"	ANC	M	R	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	B	robusta	silky oak	"Q,N"														8-20	7-14	550	"Lo, Cl"	ANC	R	O	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Robyn Gordon'		cultivar														1-1.5	1.5-2.5	500	"Sa,Lo,Cl"	AN	M	R/Pk	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Sea Spray'	cultivar of G.preissii	cultivar														0.5-1	0.5-1	500	"Sa,Lo,Cl"	AN/C	M	R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	sericea  Collaroy Plateau Form		N														1-1.5	1-1.5	550	"Sa,Lo"	AN	R	Pk	"S,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	sericea Fine Leaf Form	silky grevillea	"N,Q"														1-2	1-1.5	500	"Lo, Cl"	AN/C	M	Pk/Pu	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	striata	beefwood	"SA,N,Q,W,NT"	I	I			I	I								8-15	3-6	350	"Sa,Lo,Cl"	ANC	M	W	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Superb'		cultivar														1-2	1-3	500	"Sa,Lo,Cl"	AN/C	M	O	"A,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	thelemanniana  Spriggs form		cultivar														1	1-2	400	"Sa,Lo,Cl,Li"	ANC	M	R	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Walkaway Wanderer'	cultivar of G.thelemanniana	cultivar														0.5-1	1.5-2	450	"Sa,Lo,Cl"	AN/C	M	Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Winpara Gem'		cultivar														2-3	2-3	400	"Sa, Cl, Lo"	ANC	M	R/O	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Grevillea	G	'Winpara Gold' 		cultivar														2-3	2-3	400	"Sa, Cl, Lo"	ANC	M	Y	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Guichenotia	B	macrantha	large-flowered guichenotia	W														1-2	1	450	"Sa, Lo, Cl"	AN/C	M	Pu/Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	bucculenta	red pokers	W														2-4	2-3	400	"Sa,Lo"	ANC	R	R	W	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	G	'Burrendong Beauty'		cultivar														1	1-2	450	"Sa,Lo,Cl"	AN/C	R	Pk/R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	carinata		SA					I			R	R	E	I		R	1.5-3	1-2.5	500	"Sa, Lo, Cl"	AN	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	corymbosa	cauliflower hakea	W														1.5-2	1.2-3	400	"Sa,Lo"	AN/C	M	"Y,G"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	drupacea syn H. suaveolens	sweet hakea	W														3-4	3-4	500	"Sa, Lo, Li"	ANC	S/M	W	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	francisiana	bottlebrush hakea	"W,SA"	I		R	R			I							2-3	2	300	"Sa, Lo, Li"	ANC	M	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	laurina	pin cushion hakea	W														3-5	3-4	450	"Sa, Lo, Cl"	ANC	M	R&W	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	leucoptera ssp leucoptera 	needle bush	all states but T	I	I	I	I	I	I	I	R	T	R	T			2-5	2-4	350	"Sa, Lo, Li"	ANC	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	mitchellii syn H. muelleriana	desert hakea	"SA,V"				R			I		I	V	R	I	I	1-4	1-3	350	"Sa,Lo,Cl,Li"	ANC	R	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	multilineata	grass-leaved hakea	W														2-4	2-3	400	"Sa, Lo"	ANC	M	Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	nodosa	yellow hakea	"SA,V,T"													I	1-3	2-4	600	"Lo, Cl"	AN/C	M	Y	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	orthorrhyncha	bird beak hakea	W														1.5-3	1.5-3	450	"Sa,Lo,Cl"	ANC	R	R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	petiolaris	sea urchin hakea	"W,Q"														3-5	2-3	450	"Sa, Lo, Cl"	ANC	M	Pu&W	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	rostrata	beaked hakea	"SA,V,T"								R	T		I	I	I	1-4	1-3	400	"Sa,Lo,Cl"	ANC	M	W	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	rugosa	wrinkled hakea	"SA,V,T"					R		I	R	R	R	I	I	I	0.5-2.5	1-2	450	"Sa, Lo, Cl"	AN/C	M	W	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hakea	B	vittata	striped hakea	"SA,Q"				V			I		R		I	I	I	0.5-2	1-3	500	"Sa, Lo, Li"	ANC	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hardenbergia	B	violacea Shrub form	native lilac	"SA,Q,N,V,T"					R		T	R	R	R	I	R	I	1.5-2	2-3	500	"Sa, Lo, Cl"	ANC	M	Pu	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hardenbergia	B	violacea alba 	white native lilac	"SA,Q,N,V,T"					R		T	R	R	R	I	R	I	1.5-2	2-3	500	"Sa, Lo, Cl"	ANC	M	W	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hardenbergia	B	violacea rosea	pink native lilac	"SA,Q,N,V,T"					R		T	R	R	R	I	R	I	1.5-2	2-3	500	"Sa, Lo, Cl"	ANC	M	Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hibbertia	G	empetrifolia	scrambling guinea flower	"N,V,T,SA"											R	I		0.5-1	1-2	600	"Sa, Lo, Cl"	AN	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hibbertia	G	sericea	silky guinea flower	"SA,Q,N,V,T"									I		I	I	I	0.2-0.4	0.2-0.5	350	"Sa, Lo"	AN	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hybanthus	G	floribundus	shrub violet	"SA,W,N,V"				I	I		I	R	T	R	I	I	I	0.5-1.5	0.5-1.5	450	"Lo,Cl"	AN	M	Pu	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hymenosporum	B	flavum	native frangipani	"Q,N"														8-10	4-5	600	"Lo, Cl"	ANC	S	"Y,Cr"	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hypocalymma	G	angustifolium 		W														1.5	1-2	500	"Sa, Lo"	AN	M	"W,Pk"	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hypocalymma	G	cordifolium		W														0.5-1	1-1.5	500	"Sa,Lo"	AN	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hypocalymma	G	'Golden Veil'		cultivar														0.5-1	1-1.5	500	"Sa,Lo"	AN	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Hypocalymma	G	xanthopetalum		W														0.5-1	0.5-1	500	"Sa, Lo"	AN	M	Y	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Indigofera	B	australis 	Australian indigo	all states ex. NT		I		R	I		V				I		I	1-2	1-2	300	"Sa, Lo, Cl"	AN/C	M	Pk/Pu	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Isopogon	B	ceratophyllus	wild Irishman	"SA,V,T"									T		I	I	I	0.5-1	0.5-1	500	"Sa, Lo"	AN/C	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Isopogon	B	formosus	rose cone flower	W														1-2	1-2	500	"Sa,Lo"	ANC	M	Pk	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Ixodia	G	achillaeoides	hills daisy	SA							I	X	R	I	I	I	I	1	1	500	"Sa, Lo, Cl"	ANC	M	W	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Kunzea 	G	ambigua Dwarf form	dwarf white kunzea	cultivar														0.5-1.2	0.7-1.2	500	"Sa,Lo,Cl"	ANC	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Kunzea 	G	baxteri	crimson kunzea	W														2-3	2-3	650	"Lo, Cl"	AN	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Lasiopetalum	B	baueri	slender velvet bush	"SA,N,V,T"				T			I	R	I	I	I	I	I	05-1.5	1-2	400	"Sa, Lo, Li"	ANC	R	"Pk,W"	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Lasiopetalum	B	behrii	pink velvet bush	"SA,V"				R	I	R	I	R	I	T	R	E	I	0.5-1.5	1-2	400	"Sa, Lo, Li"	ANC	R	"Pk,W"	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Lasiopetalum	B	discolor	coast velvet bush	"SA,T,W"							I			T	R	I	I	0.5-1.5	0.5-2	400	"Sa, Lo"	ANC	M	"Pk,W"	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Lasiopetalum	B	schulzenii	drooping velvet bush	"SA,V"							R			I	E	I	I	0.5-1.5	0.5-2	400	"Sa, Lo, Li"	ANC	M	W	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Leptospermum	G	'Album Flore Pleno'	cultivar of L.scoparium	cultivar														1.5-2	1.5-2	500	"Sa, Lo, Cl"	AN	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Leptospermum	G	'Cardwell'	cultivar of L.polygalifolium	cultivar														2	2	500	"Sa, Lo, Cl"	AN	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Leptospermum	B	continentale 	prickly tea tree	"SA, N,V"									R		I	I	I	1.5-4	2-4	500	"Sa, Lo, Cl"	AN	R	W	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
